id;свод;название;город;страна;наш статус;год имени;год снятия;исходное описание из материалов;статус верен? (да/нет);верный статус;годы верны? (да/нет);комментарий
world-северная-мак-улица-ленинова-4;вне СССР / носит имя;улица Ленинова;Неготино, муниципалитет Неготино;Северная Македония;носит имя;;;Улица Ленинова в городе Неготино, муниципалитет Неготино;;;;
world-франция-проспект-ленина-6;вне СССР / носит имя;Проспект Ленина;Женвилье;Франция;носит имя;;;Проспект Ленина в Женвилье.;;;;
world-индия-район-ленина-2;вне СССР / носит имя;Район Ленина;Сантапет, Читтур, Андхра-Прадеш;Индия;носит имя;;;Жилой район в городе Сантапет, округ Читтур, штат Андхра-Прадеш;;;;
world-сербия-лењинова-50;вне СССР / носит имя;Лењинова;Дебеляча;Сербия;носит имя;;;Улица Ленина в селе Дебеляча, община Пећинци, Сремский округ, Воеводина.;;;;
world-италия-улица-ленина-13;вне СССР / носит имя;Улица Ленина;Мистербьянко;Италия;носит имя;;;Улица Николая Ленина (или просто Ленина) в коммуне Мистербьянко;;;;
world-юар-улица-ильича-ленина;вне СССР / носит имя;Улица Ильича Ленина;Йоханнесбург (район Айвори-Парк, пров. Гаутенг);ЮАР;носит имя;;;Улица Ильича Ленина в районе Айвори-Парк города Йоханнесбург, провинция Гаутенг, ЮАР.;;;;
world-болгария-улица-ленин-88;вне СССР / носит имя;улица Ленин;Иваново;Болгария;носит имя;;;Улица Ленина в селе Менгишево, Болгария.;;;;
world-индия-круиз-по-реке-ленина;вне СССР / носит имя;Круиз по реке Ленина;Бабугат-Рамкришнапур, Калькутта, Западная Бенгалия;Индия;носит имя;;;Туристическая достопримечательность — речной круиз в районе Ховра (Howrah), Западная Бенгалия;;;;
world-франция-улица-ленина-26;вне СССР / носит имя;Улица Ленина;Вьерзон, департамент Шер;Франция;носит имя;;;Улица Ленина во Вьерзоне.;;;;
world-италия-улица-ленина-25;вне СССР / носит имя;Улица Ленина;Сполето;Италия;носит имя;;;Улица Ленина в городе Сполето;;;;
world-болгария-улица-ленин-69;вне СССР / носит имя;улица Ленин;Камбурово;Болгария;носит имя;;;Улица Ленина в селе Камбурово, Болгария.;;;;
world-мексика-улица-ленина-3;вне СССР / носит имя;Улица Ленина;Сьюдад-Хуарес, Чиуауа;Мексика;носит имя;;;Улица Ленина в Сьюдад-Хуаресе, Мексика.;;;;
world-венгрия-lenin-utca-13;вне СССР / носит имя;Lenin utca;Ме́рне;Венгрия;носит имя;;;Улица Ленина в селе Ме́рне;;;;
world-мозамбик-деревня-ви-ленина;вне СССР / носит имя;Деревня В.И. Ленина;Газа (провинция);Мозамбик;носит имя;;;Деревня В.И. Ленина в провинции Газа, Мозамбик.;;;;
world-франция-площадь-ленина-8;вне СССР / носит имя;Площадь Ленина;Драп, департамент Альп-Маритим;Франция;носит имя;;;Площадь Ленина в Драпе.;;;;
world-франция-проспект-ленина-12;вне СССР / носит имя;Проспект Ленина;Паре-Вьей-Пост, департамент Эсон;Франция;носит имя;;;Проспект Ленина в Паре-Вьей-Пост;;;;
world-польша-музей-ленина-в-поронине;вне СССР / носит имя;Музей Ленина в Поронине;Поронин;Польша;носит имя;;;Музей, существовавший в 1947–1990 годах, посвящённый Владимиру Ленину.;;;;
world-финляндия-комната-музей-ви-ленина-в-па;вне СССР / носит имя;Комната-музей В.И. Ленина в Парайнене;Парайнен;Финляндия;носит имя;1976;;Открыта в 1976 году в бвышем доме крестьянина Фридрикссона, в котором в начале декабря 1907 г., перед уходом во вторую эмиграцию, провел 3 дня В.И. Ленин.;;;;
world-испания-кафе-бар-ленин;вне СССР / носит имя;Кафе-бар «Ленин»;Урда;Испания;носит имя;;;Кафе-бар в городе Урда, провинция Толедо. Название, вероятно, связано с владельцем или данью моде;;;;
world-болгария-улица-ленин-89;вне СССР / носит имя;улица Ленин;Каолиново;Болгария;носит имя;;;Улица Ленина в селе Овчарово, Болгария.;;;;
world-англия-жилой-комплекс-бевин-корт-ра;вне СССР / переименован;Жилой комплекс Бевин-Корт (ранее — Ленин-Корт);Финсбери, Лондон;Англия;переименован;1902;;Здание построено на месте дома, где Ленин жил в 1902–1903 годах, редактируя газету «Искра». Изначально планировалось назвать «Ленин-Корт», но переименовано в годы Холодной войны в честь Эрнеста Бевина.;;;;
world-франция-площадь-ленина-7;вне СССР / переименован;Площадь Ленина;Шампиньи-сюр-Марн;Франция;переименован;2024;;Площадь Ленина (носила это название до 2024 года;;;;
